experiment,condition,subject,block,rep,chunk_index,num_chunks,true_model,recovered_model,true_family,recovered_family,success_strict,success_family
1,new_learn,2,6,0,0,4,nll_unix_0,nll_gcc_eq_1,rule-based,procedural,0,0
1,new_learn,10,6,0,0,4,nll_rand_guess,nll_rand_guess,guessing,guessing,1,1
1,new_learn,18,6,0,0,4,nll_glc_0,nll_glc_0,procedural,procedural,1,1
1,new_learn,30,6,0,0,4,nll_rand_guess,nll_rand_guess,guessing,guessing,1,1
1,new_learn,38,6,0,0,4,nll_uniy_0,nll_uniy_0,rule-based,rule-based,1,1
1,relearn,5,6,0,0,4,nll_unix_1,nll_unix_1,rule-based,rule-based,1,1
1,relearn,13,6,0,0,4,nll_glc_0,nll_glc_0,procedural,procedural,1,1
1,relearn,21,6,0,0,4,nll_glc_0,nll_glc_0,procedural,procedural,1,1
1,relearn,29,6,0,0,4,nll_glc_0,nll_glc_0,procedural,procedural,1,1
1,relearn,37,6,0,0,4,nll_glc_0,nll_glc_0,procedural,procedural,1,1
2,new_learn,46,6,0,0,4,nll_rand_guess,nll_rand_guess,guessing,guessing,1,1
2,new_learn,54,6,0,0,4,nll_uniy_0,nll_uniy_0,rule-based,rule-based,1,1
2,new_learn,64,6,0,0,4,nll_rand_guess,nll_rand_guess,guessing,guessing,1,1
2,new_learn,72,6,0,0,4,nll_glc_0,nll_glc_0,procedural,procedural,1,1
2,new_learn,80,6,0,0,4,nll_glc_0,nll_uniy_0,procedural,rule-based,0,0
2,relearn,47,6,0,0,4,nll_unix_1,nll_unix_1,rule-based,rule-based,1,1
2,relearn,57,6,0,0,4,nll_unix_1,nll_gcc_eq_2,rule-based,procedural,0,0
2,relearn,65,6,0,0,4,nll_glc_0,nll_glc_0,procedural,procedural,1,1
2,relearn,77,6,0,0,4,nll_gcc_eq_2,nll_gcc_eq_2,procedural,procedural,1,1
1,new_learn,4,6,0,1,4,nll_rand_guess,nll_rand_guess,guessing,guessing,1,1
1,new_learn,12,6,0,1,4,nll_unix_0,nll_unix_0,rule-based,rule-based,1,1
1,new_learn,20,6,0,1,4,nll_glc_0,nll_glc_0,procedural,procedural,1,1
1,new_learn,32,6,0,1,4,nll_unix_0,nll_unix_0,rule-based,rule-based,1,1
1,new_learn,40,6,0,1,4,nll_rand_guess,nll_rand_guess,guessing,guessing,1,1
1,relearn,7,6,0,1,4,nll_glc_0,nll_glc_0,procedural,procedural,1,1
1,relearn,15,6,0,1,4,nll_gcc_eq_2,nll_gcc_eq_2,procedural,procedural,1,1
1,relearn,23,6,0,1,4,nll_glc_0,nll_glc_0,procedural,procedural,1,1
1,relearn,31,6,0,1,4,nll_glc_0,nll_glc_0,procedural,procedural,1,1
1,relearn,39,6,0,1,4,nll_glc_0,nll_glc_0,procedural,procedural,1,1
2,new_learn,48,6,0,1,4,nll_rand_guess,nll_rand_guess,guessing,guessing,1,1
2,new_learn,56,6,0,1,4,nll_rand_guess,nll_rand_guess,guessing,guessing,1,1
2,new_learn,66,6,0,1,4,nll_gcc_eq_3,nll_gcc_eq_3,procedural,procedural,1,1
2,new_learn,74,6,0,1,4,nll_bias_guess,nll_bias_guess,guessing,guessing,1,1
2,relearn,41,6,0,1,4,nll_glc_0,nll_glc_0,procedural,procedural,1,1
2,relearn,49,6,0,1,4,nll_rand_guess,nll_rand_guess,guessing,guessing,1,1
2,relearn,59,6,0,1,4,nll_gcc_eq_2,nll_glc_0,procedural,procedural,0,1
2,relearn,69,6,0,1,4,nll_glc_0,nll_glc_0,procedural,procedural,1,1
2,relearn,79,6,0,1,4,nll_unix_1,nll_glc_0,rule-based,procedural,0,0
1,new_learn,6,6,0,2,4,nll_glc_0,nll_glc_0,procedural,procedural,1,1
1,new_learn,14,6,0,2,4,nll_uniy_0,nll_uniy_0,rule-based,rule-based,1,1
1,new_learn,26,6,0,2,4,nll_uniy_0,nll_uniy_0,rule-based,rule-based,1,1
1,new_learn,34,6,0,2,4,nll_rand_guess,nll_rand_guess,guessing,guessing,1,1
1,relearn,1,6,0,2,4,nll_unix_1,nll_unix_1,rule-based,rule-based,1,1
1,relearn,9,6,0,2,4,nll_bias_guess,nll_rand_guess,guessing,guessing,0,1
1,relearn,17,6,0,2,4,nll_glc_0,nll_unix_1,procedural,rule-based,0,0
1,relearn,25,6,0,2,4,nll_glc_0,nll_unix_1,procedural,rule-based,0,0
1,relearn,33,6,0,2,4,nll_unix_1,nll_unix_1,rule-based,rule-based,1,1
2,new_learn,42,6,0,2,4,nll_uniy_0,nll_uniy_0,rule-based,rule-based,1,1
2,new_learn,50,6,0,2,4,nll_uniy_0,nll_uniy_0,rule-based,rule-based,1,1
2,new_learn,58,6,0,2,4,nll_rand_guess,nll_rand_guess,guessing,guessing,1,1
2,new_learn,68,6,0,2,4,nll_glc_0,nll_glc_0,procedural,procedural,1,1
2,new_learn,76,6,0,2,4,nll_uniy_0,nll_uniy_0,rule-based,rule-based,1,1
2,relearn,43,6,0,2,4,nll_unix_1,nll_unix_1,rule-based,rule-based,1,1
2,relearn,53,6,0,2,4,nll_glc_0,nll_glc_0,procedural,procedural,1,1
2,relearn,61,6,0,2,4,nll_glc_0,nll_glc_0,procedural,procedural,1,1
2,relearn,71,6,0,2,4,nll_rand_guess,nll_rand_guess,guessing,guessing,1,1
1,new_learn,8,6,0,3,4,nll_uniy_0,nll_uniy_0,rule-based,rule-based,1,1
1,new_learn,16,6,0,3,4,nll_rand_guess,nll_rand_guess,guessing,guessing,1,1
1,new_learn,28,6,0,3,4,nll_rand_guess,nll_rand_guess,guessing,guessing,1,1
1,new_learn,36,6,0,3,4,nll_rand_guess,nll_rand_guess,guessing,guessing,1,1
1,relearn,3,6,0,3,4,nll_gcc_eq_2,nll_gcc_eq_2,procedural,procedural,1,1
1,relearn,11,6,0,3,4,nll_unix_1,nll_unix_1,rule-based,rule-based,1,1
1,relearn,19,6,0,3,4,nll_glc_0,nll_glc_0,procedural,procedural,1,1
1,relearn,27,6,0,3,4,nll_rand_guess,nll_rand_guess,guessing,guessing,1,1
1,relearn,35,6,0,3,4,nll_gcc_eq_2,nll_gcc_eq_2,procedural,procedural,1,1
2,new_learn,44,6,0,3,4,nll_rand_guess,nll_rand_guess,guessing,guessing,1,1
2,new_learn,52,6,0,3,4,nll_uniy_0,nll_uniy_0,rule-based,rule-based,1,1
2,new_learn,62,6,0,3,4,nll_glc_0,nll_glc_0,procedural,procedural,1,1
2,new_learn,70,6,0,3,4,nll_uniy_0,nll_gcc_eq_3,rule-based,procedural,0,0
2,new_learn,78,6,0,3,4,nll_rand_guess,nll_rand_guess,guessing,guessing,1,1
2,relearn,45,6,0,3,4,nll_bias_guess,nll_bias_guess,guessing,guessing,1,1
2,relearn,55,6,0,3,4,nll_glc_0,nll_glc_0,procedural,procedural,1,1
2,relearn,63,6,0,3,4,nll_unix_1,nll_unix_1,rule-based,rule-based,1,1
2,relearn,73,6,0,3,4,nll_glc_0,nll_glc_0,procedural,procedural,1,1
